item	role	stage	bundle	damage	cooldown_ticks	durability	uses	loaded	spare	description
Wall	none	1	1	0	6	0	0	0	0	
Medkit	survival	1	1	0	300	0	0	0	0	
Bandage	survival	1	3	0	120	0	0	0	0	
Bandaid	oddity	1	5	0	12	0	0	0	0	
Fist	none	1	1	4	12	0	0	0	0	
Conductor Hat	combat	3	1	0	0	0	0	0	0	
Buckler	combat	1	1	0	30	30	0	0	0	
Pistol	combat	1	1	16	12	0	0	12	48	
Musket	combat	2	1	35	40	0	0	1	12	
Bow	combat	1	1	35	16	0	0	20	0	
Rocket Launcher	combat	3	1	80	48	0	0	1	1	
Ammo	utility	1	2	0	0	0	0	0	0	
Bomb	combat	1	2	65	45	0	0	0	0	
Sleep Meds	combat	1	3	0	30	0	0	0	0	
Stick	combat	1	1	17	16	18	0	0	0	
Shotgun	combat	2	1	48	32	0	0	6	6	
SMG	combat	3	1	9	4	0	0	30	18	
Bear Trap	combat	1	2	0	20	0	0	0	0	
Mine	combat	1	2	0	20	0	0	0	0	
Pickaxe	mobility	1	1	22	24	32	0	0	0	
Raw Meat	utility	1	2	0	12	0	0	0	0	
Cooked Meat	survival	1	2	0	90	0	0	0	0	
Throwing Rock	combat	1	3	8	30	0	0	0	0	Flies along a line, hits for 8 damage and lands. Recover the same stone at the impact.
Hatchet	combat	1	1	16	35	35	0	0	0	Cleave three adjacent cells. Triple damage to timber, trees, crates and logs; cannot dig stone.
Hunting Spear	combat	1	1	12	28	45	0	0	0	Thrust through two cells, piercing actors along the shaft.
Crossbow	combat	2	1	32	40	0	0	1	16	One traveling bolt, 32 damage on impact. Deliberate mechanical reload.
Blunderbuss	combat	3	1	10	40	0	0	2	14	Three short lanes, 10 damage each. Two shots; recoil steps you back.
Wooden Maul	combat	1	1	28	60	24	0	0	0	A slow 28-damage blow that shoves. An immovable surface crushes the victim.
Rake	utility	1	1	7	24	400	0	0	0	Pull loose debris into a pile. Sweep three cells of brittle growth; 400 repairable condition.
Flint Knife	combat	1	1	7	12	60	0	0	0	Fast 7-damage stab. Double damage against sleepers or from behind.
Torch	combat	1	1	6	35	90	0	0	0	A portable flame. Strike and ignite dry growth, oil or sap. 90 swings.
Lighter	utility	1	1	0	25	0	20	0	0	A tiny spark, 20 uses. Try oil, sap, or dry growth.
Oil flask	utility	1	2	0	40	0	0	0	0	Oily ground slips a walker one extra cell. A spark turns it into spreading fire.
Sap jar	combat	1	2	0	45	0	0	0	0	Throw a sticky cross. Slows steps and burns longer than oil.
Water flask	survival	1	2	0	30	0	0	0	0	Pour three facing cells. Quench flames, clear spores and cool lava.
Mushroom spores	combat	1	2	0	45	0	0	0	0	Throw a lingering sleep cloud. It catches allies and enemies alike.
Smoke pot	combat	1	2	0	45	0	0	0	0	Throw a concealing cloud. Creatures lose sight; attacks still pass through.
Honey pot	utility	1	1	0	35	0	0	0	0	Place a sweet bear lure on a sticky patch. Don't stand beside the diner.
Egg	utility	1	3	0	35	0	0	0	0	Eat for 3 HP. Hold use toward a flame, or leave it on a fire, to fry one portion in 0.75s.
Fried Egg	survival	1	2	0	60	0	0	0	0	A warm little meal. Restore 12 HP. Fried over an exposed flame.
Digging Claws	combat	1	1	8	18	200	0	0	0	200 quick scratches for digging and fighting. Dig power 1; 8 damage. Pierces a snail's shell.
Resin Glue	utility	1	1	0	60	0	0	0	0	Mend your most worn equipment, including sticks and digging tools. Restores condition, not ammo, fuel or charges.
Seed Bag	combat	1	1	0	35	0	6	0	0	Dry ground grows 40-HP cover in 3s. Cut or burn it. Won't grow under actors.
Lantern Seed	oddity	1	1	0	35	0	0	0	0	Plant a 12-HP glowing flower. A small steady light that attracts moths. Burnable.
Herb Bag	survival	1	1	0	45	0	4	0	0	Chew healing herbs. Recover 1 HP each third of a second. Cannot stack active regeneration.
Splint	utility	1	1	0	45	0	2	0	0	Remove stun; resist more stun for 3s. Can be used while stunned. Two uses.
Bitter Root	utility	1	1	0	45	0	0	0	0	Lose 3 HP, wake and resist sleep for 10s. Can be chewed while asleep.
Chili	utility	1	1	0	45	0	0	0	0	Double step recovery for 4s, then burn for 6 damage over 1.5s. Water helps.
Fungal Bread	survival	1	1	0	60	0	0	0	0	Bread... probably.
Bird Seed	utility	1	3	0	30	0	0	0	0	12 beakfuls. Draws idle birds and chicken flocks. Does not cancel committed attacks or family defense.
Thorn Caltrops	combat	1	2	6	40	0	0	0	0	3 hits per patch on entry. Hurts grounded friends and foes. Flyers pass over. Cut or burn to clear.
Hunting Horn	combat	1	1	0	100	0	8	0	0	Push each target 1 cell. Walls crush; friends too. Wakes sleepers in the cone.
Rope Hook	mobility	1	1	0	75	0	24	0	0	Reel a target or yourself toward an anchor by up to 3 cells. Step sideways to break free.
Root Drill	mobility	3	1	24	90	0	3	0	0	Dig-power-3 auger bores a fixed line through walls and bodies. Unbreakable terrain stops it.
Blink Seed	mobility	3	2	0	60	0	0	0	0	Throw to blink. Walls and bodies stop it. Landing hazards apply. Roots and sealed arenas hold you.
Boomerang	combat	1	1	16	24	0	0	0	0	Hits once each way. Returns to your reserved slot; a blocked return drops it.
Rope Snare	combat	1	2	0	40	0	0	0	0	Holds feet for 3s; attacks work. Allies can cut or shove you free. Recover after release.
Spring Trap	combat	2	2	0	45	0	0	0	0	Launches a grounded actor 2 cells along its arrow. Hard walls crush. One shot; friends count.
Acorn Mine	combat	2	2	22	45	0	0	0	0	Step or break to burst four splinter lanes. Walls and bodies stop them. Friends count.
Throwing Net	combat	2	2	0	60	0	0	0	0	A traveling wide cast. Roots the first group for 30s; they can still attack. Walls catch the net.
Sticky Boots	survival	1	1	0	45	0	4	0	0	Grip for 6s: resist shoves and slips, but each step takes longer. Crushers still crush. Four uses.
Rabbit Charm	mobility	3	1	0	0	0	0	0	0	Hold in your hand to run faster. No charges. Roots, ice and other hazards still apply. Stow it to fight.
Hand Bell	oddity	1	1	0	90	0	80	0	0	Wake sleepers and draw curious creatures to this spot. Sound travels around corners, not through walls.
Firecracker	utility	1	3	0	60	0	0	0	0	Throw, then bang after 1.5s. Small creatures stun for 0.5s and flee; larger hunters investigate. No damage.
Stink Bomb	oddity	1	2	0	45	0	0	0	0	Throw a lingering scent. Hungry animals and scavengers sniff it out. Water or fire clears it; no damage.
Rotten Fruit	oddity	1	3	0	45	0	0	0	0	Throw foul bait: contact causes nausea. Or eat it for 3 HP, then 6s of nausea. Water washes rot away.
Pitch Bomb	combat	1	2	12	75	0	0	0	0	A 2s fuse, then 12 damage and burning sticky sap. Ignites growth; dangerous to friends. Water quenches it.
Shield Lantern	combat	1	1	0	30	24	0	0	0	Shove ahead and block facing hits for 0.25s. Damage wears the shield. Lights the way while held or dropped.
Reflecting Pan	combat	1	1	0	36	24	0	0	0	Return frontal bullets, arrows, rockets, rocks and boomerangs. No melee or blasts.
Scarecrow	utility	1	1	0	45	0	0	0	0	Birds and rabbits avoid its ward. Won't stop a committed attack. Burns and breaks.
Straw Decoy	combat	1	1	0	45	0	0	0	0	Draws enemy attacks. A straw body that tears and burns. Some creatures ignore it.
Wolf Whistle	utility	1	1	0	90	0	8	0	0	Aim at a lone wolf. It hunts a nearby enemy for 5s. Packs and committed attacks resist. Harm breaks the call.
Thunder Acorn	combat	3	2	24	60	0	0	0	0	Flies, then arcs through up to four bodies. Water or wire takes the rest as a six-step circuit. Friends too; a planted spike grounds it.
Pocket Door	mobility	3	1	0	45	0	2	0	0	Place two linked thresholds. Step through; others can follow. Cast across ordinary walls. Sealed arenas hold.
Grit Pouch	mobility	1	1	0	30	0	6	0	0	Scatter traction over ice. Stops slips and brakes skaters. Water washes it away; oil still slips.
Ice Needle	combat	1	3	8	30	0	0	0	0	Throw, chill, recover. Shields block chill. Melts on a hot landing; flames resist cold.
Air Bladder	utility	1	1	0	45	0	3	0	0	Hold to float. Use to push or float cargo.
Cold Flask	combat	1	2	0	45	0	0	0	0	Freezes river water. Keep away from heat.
Heat Capsule	survival	1	2	0	45	0	0	0	0	Warm a cross for 4s. Thaw ice, clear chill and resist cold. Ignites spilled oil; supplies no healing.
Wool Wrap	survival	1	1	0	45	0	0	0	0	Clear chill; resist more for 8s. Fire burns the wrap away and leaves you burning. Cannot wrap while alight.
Hot Broth	survival	1	2	0	45	0	0	0	0	Clear chill and heal slowly. Taking damage ends this healing. Cannot stack active regeneration.
Ice Poultice	survival	1	2	0	45	0	0	0	0	Stop burning and heal slowly, but suffer 3s chill. Wool blocks that chill. Cannot stack active regeneration.
Chisel	combat	1	1	9	18	40	0	0	0	Quick jab. Double damage to ice walls and blocks. Dig power 1. Wears per swing; glue repairs it.
