floor,seed,source,item,quantity,durability,uses,loaded,spare,x,y
1,1,ground,Stick,1,18,0,0,0,33,35
1,1,ground,River Fish,5,0,0,0,0,40,50
1,1,ground,Wooden Maul,1,24,0,0,0,50,62
1,1,ground,Hunting Spear,1,45,0,0,0,30,60
1,1,ground,Hatchet,1,35,0,0,0,53,39
1,1,ground,Torch,1,90,0,0,0,53,40
1,1,ground,Torch,1,90,0,0,0,53,9
1,1,ground,Root Drill,1,0,3,0,0,54,8
1,1,ground,Fungal Bread,2,0,0,0,0,56,23
1,1,ground,Firecracker,2,0,0,0,0,62,31
1,1,ground,River Fish,5,0,0,0,0,15,51
1,1,ground,Pitch Bomb,2,0,0,0,0,39,101
1,1,ground,Ammo,1,0,0,0,0,8,35
1,1,ground,Mushroom spores,2,0,0,0,0,36,86
1,1,ground,Medkit,1,0,0,0,0,28,106
1,1,ground,Thorn Caltrops,2,0,0,0,0,53,72
1,1,ground,Ammo,1,0,0,0,0,56,75
1,1,ground,Water flask,2,0,0,0,0,9,62
1,1,ground,Bandage,2,0,0,0,0,27,99
1,1,ground,Bandage,3,0,0,0,0,9,55
1,1,ground,Buckler,1,30,0,0,0,32,72
1,1,wall,Buckler,1,30,0,0,0,32,43
1,2,ground,Stick,1,18,0,0,0,78,57
1,2,ground,River Fish,4,0,0,0,0,59,10
1,2,ground,Hatchet,1,35,0,0,0,52,15
1,2,ground,Water flask,2,0,0,0,0,51,40
1,2,ground,Water flask,2,0,0,0,0,49,10
1,2,ground,Fungal Bread,1,0,0,0,0,76,29
1,2,ground,Herb Bag,1,0,4,0,0,40,33
1,2,ground,Shield Lantern,1,24,0,0,0,59,76
1,2,ground,Ammo,1,0,0,0,0,50,75
1,2,ground,Ammo,1,0,0,0,0,9,32
1,2,ground,River Fish,3,0,0,0,0,59,41
1,2,ground,River Fish,5,0,0,0,0,90,67
1,2,ground,River Fish,5,0,0,0,0,100,76
1,2,ground,Splint,1,0,2,0,0,108,38
1,2,wall,Fried Egg,2,0,0,0,0,107,77
1,3,ground,Stick,1,18,0,0,0,34,79
1,3,ground,Hunting Spear,1,45,0,0,0,15,61
1,3,ground,Rake,1,400,0,0,0,15,74
1,3,ground,Bandage,2,0,0,0,0,12,70
1,3,ground,Bird Seed,1,0,0,0,0,61,60
1,3,ground,Herb Bag,1,0,4,0,0,56,53
1,3,ground,Ammo,1,0,0,0,0,84,32
1,3,ground,Ammo,1,0,0,0,0,3,26
1,3,ground,Stick,1,18,0,0,0,10,57
1,3,ground,Resin Glue,1,0,0,0,0,82,27
1,3,ground,Lighter,1,0,20,0,0,109,18
1,3,ground,Rake,1,400,0,0,0,32,56
1,3,wall,Flint Knife,1,60,0,0,0,58,25
1,3,wall,Sleep Meds,3,0,0,0,0,27,31
1,3,wall,Fungal Bread,1,0,0,0,0,42,55
1,4,ground,Stick,1,18,0,0,0,35,79
1,4,ground,Flint Knife,1,60,0,0,0,37,35
1,4,ground,Rope Hook,1,0,24,0,0,38,35
1,4,ground,Torch,1,90,0,0,0,33,55
1,4,ground,Flint Knife,1,60,0,0,0,33,123
1,4,ground,Buckler,1,30,0,0,0,41,126
1,4,ground,Flint Knife,1,60,0,0,0,37,126
1,4,ground,River Fish,5,0,0,0,0,38,145
1,4,ground,Buckler,1,30,0,0,0,59,39
1,4,ground,Mushroom spores,2,0,0,0,0,35,141
1,4,ground,Bird Seed,1,0,0,0,0,9,40
1,4,ground,Fungal Bread,1,0,0,0,0,16,34
1,4,ground,Bandage,2,0,0,0,0,7,56
1,4,ground,Ammo,1,0,0,0,0,15,144
1,4,ground,River Fish,3,0,0,0,0,23,138
1,4,ground,River Fish,2,0,0,0,0,8,117
1,4,ground,Cooked Meat,2,0,0,0,0,9,49
1,4,ground,Medkit,1,0,0,0,0,30,150
1,4,wall,Fungal Bread,1,0,0,0,0,14,53
1,5,ground,Stick,1,18,0,0,0,34,57
1,5,ground,Hatchet,1,35,0,0,0,40,95
1,5,ground,Bitter Root,1,0,0,0,0,55,96
1,5,ground,Hatchet,1,35,0,0,0,38,37
1,5,ground,Torch,1,90,0,0,0,39,37
1,5,ground,Torch,1,90,0,0,0,8,37
1,5,ground,Root Drill,1,0,3,0,0,7,37
1,5,carried,Buckler,1,30,0,0,0,17,39
1,5,ground,Fungal Bread,2,0,0,0,0,12,42
1,5,ground,Firecracker,2,0,0,0,0,17,33
1,5,ground,Fungal Bread,2,0,0,0,0,11,34
1,5,ground,Bomb,2,0,0,0,0,39,107
1,5,ground,Reflecting Pan,1,24,0,0,0,13,5
1,5,ground,Ammo,1,0,0,0,0,15,7
1,5,ground,Bird Seed,1,0,0,0,0,86,76
1,5,ground,Herb Bag,1,0,4,0,0,80,71
1,5,ground,Rake,1,400,0,0,0,15,100
1,5,ground,Herb Bag,1,0,4,0,0,10,102
1,5,ground,Ammo,1,0,0,0,0,30,119
1,5,ground,Seed Bag,1,0,6,0,0,21,92
1,5,ground,Water flask,2,0,0,0,0,35,112
1,5,ground,Bandage,3,0,0,0,0,75,85
1,6,ground,Stick,1,18,0,0,0,33,80
1,6,ground,Digging Claws,1,200,0,0,0,9,99
1,6,ground,Rope Hook,1,0,24,0,0,10,99
1,6,ground,Torch,1,90,0,0,0,12,77
1,6,ground,Throwing Rock,3,0,0,0,0,61,12
