floor,source,item,role,floors_present,sample_floors,presence_percent,avg_pickups_per_floor,avg_units_per_floor,avg_units_per_pickup
1,ground,Medkit,survival,181,256,70.703125,0.76171875,0.76171875,1.0
1,ground,Bandage,survival,151,256,58.984375,0.671875,1.44921875,2.1569767441860463
1,ground,Bandaid,oddity,4,256,1.5625,0.015625,0.078125,5.0
1,ground,Buckler,combat,28,256,10.9375,0.1171875,0.1171875,1.0
1,ground,Bow,combat,66,256,25.78125,0.2890625,0.2890625,1.0
1,ground,Ammo,utility,256,256,100.0,1.84765625,1.85546875,1.0042283298097252
1,ground,Bomb,combat,23,256,8.984375,0.08984375,0.1796875,2.0
1,ground,Sleep Meds,combat,20,256,7.8125,0.08203125,0.24609375,3.0
1,ground,Stick,combat,256,256,100.0,1.2578125,1.2578125,1.0
1,ground,Bear Trap,combat,25,256,9.765625,0.1015625,0.203125,2.0
1,ground,Pickaxe,mobility,94,256,36.71875,0.48046875,0.48046875,1.0
1,ground,Raw Meat,utility,23,256,8.984375,0.08984375,0.10546875,1.173913043478261
1,ground,Cooked Meat,survival,21,256,8.203125,0.08984375,0.1796875,2.0
1,ground,Throwing Rock,combat,35,256,13.671875,0.15625,0.46875,3.0
1,ground,Hatchet,combat,125,256,48.828125,0.62890625,0.62890625,1.0
1,ground,Hunting Spear,combat,35,256,13.671875,0.1484375,0.1484375,1.0
1,ground,Crossbow,combat,7,256,2.734375,0.02734375,0.02734375,1.0
1,ground,Wooden Maul,combat,35,256,13.671875,0.14453125,0.14453125,1.0
1,ground,Rake,utility,107,256,41.796875,0.484375,0.484375,1.0
1,ground,Flint Knife,combat,61,256,23.828125,0.2890625,0.2890625,1.0
1,ground,Torch,combat,124,256,48.4375,0.65625,0.65625,1.0
1,ground,Lighter,utility,64,256,25.0,0.26953125,0.26953125,1.0
1,ground,Oil flask,utility,14,256,5.46875,0.05859375,0.078125,1.3333333333333333
1,ground,Sap jar,combat,44,256,17.1875,0.1953125,0.34765625,1.78
1,ground,Water flask,survival,97,256,37.890625,0.46484375,0.9296875,2.0
1,ground,Mushroom spores,combat,80,256,31.25,0.359375,0.71875,2.0
1,ground,Smoke pot,combat,19,256,7.421875,0.07421875,0.1484375,2.0
1,ground,Honey pot,utility,16,256,6.25,0.0625,0.0625,1.0
1,ground,Egg,utility,7,256,2.734375,0.02734375,0.08203125,3.0
1,ground,Fried Egg,survival,31,256,12.109375,0.1328125,0.265625,2.0
1,ground,Digging Claws,combat,42,256,16.40625,0.18359375,0.18359375,1.0
1,ground,Resin Glue,utility,51,256,19.921875,0.21875,0.21875,1.0
1,ground,Seed Bag,combat,38,256,14.84375,0.15625,0.15625,1.0
1,ground,Lantern Seed,oddity,11,256,4.296875,0.04296875,0.04296875,1.0
1,ground,Herb Bag,survival,91,256,35.546875,0.39453125,0.39453125,1.0
1,ground,Splint,utility,16,256,6.25,0.0703125,0.0703125,1.0
1,ground,Bitter Root,utility,8,256,3.125,0.03125,0.03125,1.0
1,ground,Chili,utility,18,256,7.03125,0.0703125,0.0703125,1.0
1,ground,Fungal Bread,survival,123,256,48.046875,0.62109375,0.7734375,1.2452830188679245
1,ground,Bird Seed,utility,65,256,25.390625,0.2734375,0.3046875,1.1142857142857143
1,ground,Thorn Caltrops,combat,26,256,10.15625,0.1171875,0.20703125,1.7666666666666666
1,ground,Hunting Horn,combat,24,256,9.375,0.09375,0.09375,1.0
1,ground,Rope Hook,mobility,45,256,17.578125,0.18359375,0.18359375,1.0
1,ground,Root Drill,mobility,38,256,14.84375,0.1484375,0.1484375,1.0
1,ground,Boomerang,combat,21,256,8.203125,0.0859375,0.0859375,1.0
1,ground,Rope Snare,combat,22,256,8.59375,0.0859375,0.171875,2.0
1,ground,Spring Trap,combat,3,256,1.171875,0.01171875,0.0234375,2.0
1,ground,Acorn Mine,combat,3,256,1.171875,0.01171875,0.0234375,2.0
1,ground,Throwing Net,combat,25,256,9.765625,0.1015625,0.203125,2.0
1,ground,Sticky Boots,survival,14,256,5.46875,0.05859375,0.05859375,1.0
1,ground,Firecracker,utility,28,256,10.9375,0.15234375,0.3125,2.051282051282051
1,ground,Stink Bomb,oddity,4,256,1.5625,0.015625,0.03125,2.0
1,ground,Rotten Fruit,oddity,3,256,1.171875,0.01171875,0.03515625,3.0
1,ground,Pitch Bomb,combat,19,256,7.421875,0.078125,0.15625,2.0
1,ground,Shield Lantern,combat,26,256,10.15625,0.10546875,0.10546875,1.0
1,ground,Reflecting Pan,combat,21,256,8.203125,0.09375,0.09375,1.0
1,ground,Scarecrow,utility,4,256,1.5625,0.015625,0.015625,1.0
1,ground,Straw Decoy,combat,18,256,7.03125,0.0703125,0.0703125,1.0
1,ground,Wolf Whistle,utility,3,256,1.171875,0.01171875,0.01171875,1.0
1,ground,Fishing Line,utility,54,256,21.09375,0.23046875,0.23046875,1.0
1,ground,River Fish,survival,197,256,76.953125,2.12109375,8.2265625,3.8784530386740332
1,wall,Medkit,survival,3,256,1.171875,0.01171875,0.01171875,1.0
